Handle,Title,Vendor,Type,Published,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,product.metafields.custom.artisan,product.metafields.custom.concentration,product.metafields.custom.top_notes,product.metafields.custom.heart_notes,product.metafields.custom.base_notes,Body (HTML)
corner-specoloo,Specoloo,Corner,Parfum,TRUE,Title,Default Title,shopify,58,deny,manual,388,TRUE,TRUE,https://images.unsplash.com/photo-1615529182904-14819c35db37?q=80&w=800&auto=format&fit=crop,Corner,Parfum,Gourmand,Aromatic,Medium,A masterfully crafted EDP fragrance by Corner. Perfect for Unisex seeking a Gourmand scent with Medium longevity.
corner-oud,Oud,Corner,Parfum,TRUE,Title,Default Title,shopify,59,deny,manual,389,TRUE,TRUE,https://images.unsplash.com/photo-1615529182904-14819c35db37?q=80&w=800&auto=format&fit=crop,Corner,Parfum,Oud,Aromatic,Strong,A masterfully crafted EDP fragrance by Corner. Perfect for Unisex seeking a Oud scent with Strong longevity.
corner-royal,Royal,Corner,Parfum,TRUE,Title,Default Title,shopify,60,deny,manual,390,TRUE,TRUE,https://images.unsplash.com/photo-1601007746401-44755f190e29?q=80&w=800&auto=format&fit=crop,Corner,Parfum,Spicy,Aromatic,Strong,A masterfully crafted EDP fragrance by Corner. Perfect for Unisex seeking a Spicy scent with Strong longevity.
corner-satin,Satin,Corner,Parfum,TRUE,Title,Default Title,shopify,61,deny,manual,391,TRUE,TRUE,https://images.unsplash.com/photo-1596462502278-27bfdc403348?q=80&w=800&auto=format&fit=crop,Corner,Parfum,Sweet,Aromatic,Strong,A masterfully crafted EDP fragrance by Corner. Perfect for Unisex seeking a Sweet scent with Strong longevity.
corner-indonesian,Indonesian,Corner,Parfum,TRUE,Title,Default Title,shopify,62,deny,manual,392,TRUE,TRUE,https://images.unsplash.com/photo-1595425970377-c9703c48657a?q=80&w=800&auto=format&fit=crop,Corner,Parfum,Woody,Aromatic,Strong,A masterfully crafted EDP fragrance by Corner. Perfect for Unisex seeking a Woody scent with Strong longevity.
corner-9,(9),Corner,Parfum,TRUE,Title,Default Title,shopify,63,deny,manual,393,TRUE,TRUE,https://images.unsplash.com/photo-1615529182904-14819c35db37?q=80&w=800&auto=format&fit=crop,Corner,Parfum,Spicy,Aromatic,Strong,A masterfully crafted EDP fragrance by Corner. Perfect for Male seeking a Spicy scent with Strong longevity.
corner-7,(7),Corner,Parfum,TRUE,Title,Default Title,shopify,64,deny,manual,394,TRUE,TRUE,https://images.unsplash.com/photo-1598516086708-41c305c08d17?q=80&w=800&auto=format&fit=crop,Corner,Parfum,Aromatic,Aromatic,Medium,A masterfully crafted EDP fragrance by Corner. Perfect for Male seeking a Aromatic scent with Medium longevity.
corner-8,(8),Corner,Parfum,TRUE,Title,Default Title,shopify,65,deny,manual,395,TRUE,TRUE,https://images.unsplash.com/photo-1594913785124-71239c4f5260?q=80&w=800&auto=format&fit=crop,Corner,Parfum,Oriental,Aromatic,Strong,A masterfully crafted EDP fragrance by Corner. Perfect for Male seeking a Oriental scent with Strong longevity.
corner-14,(14),Corner,Parfum,TRUE,Title,Default Title,shopify,66,deny,manual,396,TRUE,TRUE,https://images.unsplash.com/photo-1594913785124-71239c4f5260?q=80&w=800&auto=format&fit=crop,Corner,Parfum,Spicy,Aromatic,Strong,A masterfully crafted EDP fragrance by Corner. Perfect for Male seeking a Spicy scent with Strong longevity.
corner-une1,(Une/1),Corner,Parfum,TRUE,Title,Default Title,shopify,67,deny,manual,397,TRUE,TRUE,https://images.unsplash.com/photo-1590156546946-ce55a12a6a5d?q=80&w=800&auto=format&fit=crop,Corner,Parfum,Fresh,Aromatic,Medium,A masterfully crafted EDP fragrance by Corner. Perfect for Unisex seeking a Fresh scent with Medium longevity.
corner-deux2,(Deux/2),Corner,Parfum,TRUE,Title,Default Title,shopify,68,deny,manual,398,TRUE,TRUE,https://images.unsplash.com/photo-1601244840899-72c676afba7b?q=80&w=800&auto=format&fit=crop,Corner,Parfum,Oriental,Aromatic,Strong,A masterfully crafted EDP fragrance by Corner. Perfect for Unisex seeking a Oriental scent with Strong longevity.
corner-trois3,(Trois/3),Corner,Parfum,TRUE,Title,Default Title,shopify,69,deny,manual,399,TRUE,TRUE,https://images.unsplash.com/photo-1619994403073-2cec844b8e63?q=80&w=800&auto=format&fit=crop,Corner,Parfum,Spicy,Aromatic,Strong,A masterfully crafted EDP fragrance by Corner. Perfect for Unisex seeking a Spicy scent with Strong longevity.
corner-quatre4,(Quatre/4),Corner,Parfum,TRUE,Title,Default Title,shopify,20,deny,manual,400,TRUE,TRUE,https://images.unsplash.com/photo-1518331566-07612711ff60?q=80&w=800&auto=format&fit=crop,Corner,Parfum,Woody,Aromatic,Strong,A masterfully crafted EDP fragrance by Corner. Perfect for Unisex seeking a Woody scent with Strong longevity.
corner-signature,Signature,Corner,Parfum,TRUE,Title,Default Title,shopify,21,deny,manual,401,TRUE,TRUE,https://images.unsplash.com/photo-1608528577891-eb055944f2e7?q=80&w=800&auto=format&fit=crop,Corner,Parfum,Aromatic,Aromatic,Medium,A masterfully crafted EDP fragrance by Corner. Perfect for Male seeking a Aromatic scent with Medium longevity.
corner-afgano,Afgano,Corner,Parfum,TRUE,Title,Default Title,shopify,22,deny,manual,402,TRUE,TRUE,https://images.unsplash.com/photo-1601007746401-44755f190e29?q=80&w=800&auto=format&fit=crop,Corner,Parfum,Oriental,Aromatic,Strong,A masterfully crafted EDP fragrance by Corner. Perfect for Unisex seeking a Oriental scent with Strong longevity.
corner-dores,Dores,Corner,Parfum,TRUE,Title,Default Title,shopify,23,deny,manual,403,TRUE,TRUE,https://images.unsplash.com/photo-1619994403073-2cec844b8e63?q=80&w=800&auto=format&fit=crop,Corner,Parfum,Amber,Aromatic,Strong,A masterfully crafted EDP fragrance by Corner. Perfect for Unisex seeking a Amber scent with Strong longevity.
corner-why,Why,Corner,Parfum,TRUE,Title,Default Title,shopify,24,deny,manual,404,TRUE,TRUE,https://images.unsplash.com/photo-1585386959984-a4155224a1ad?q=80&w=800&auto=format&fit=crop,Corner,Parfum,Spicy,Aromatic,Medium,A masterfully crafted EDP fragrance by Corner. Perfect for Male seeking a Spicy scent with Medium longevity.
corner-pink,(Pink),Corner,Parfum,TRUE,Title,Default Title,shopify,25,deny,manual,405,TRUE,TRUE,https://images.unsplash.com/photo-1616949755610-8c9bbc08f138?q=80&w=800&auto=format&fit=crop,Corner,Parfum,Floral,Aromatic,Medium,A masterfully crafted EDP fragrance by Corner. Perfect for Female seeking a Floral scent with Medium longevity.
corner-delicious,Delicious,Corner,Parfum,TRUE,Title,Default Title,shopify,26,deny,manual,406,TRUE,TRUE,https://images.unsplash.com/photo-1601007746401-44755f190e29?q=80&w=800&auto=format&fit=crop,Corner,Parfum,Fruity,Aromatic,Medium,A masterfully crafted EDP fragrance by Corner. Perfect for Female seeking a Fruity scent with Medium longevity.
corner-rifaqat,Rifaqat,Corner,Parfum,TRUE,Title,Default Title,shopify,27,deny,manual,407,TRUE,TRUE,https://images.unsplash.com/photo-1595425970377-c9703c48657a?q=80&w=800&auto=format&fit=crop,Corner,Parfum,Spicy,Aromatic,Strong,A masterfully crafted EDP fragrance by Corner. Perfect for Unisex seeking a Spicy scent with Strong longevity.
corner-adorn,Adorn,Corner,Parfum,TRUE,Title,Default Title,shopify,28,deny,manual,408,TRUE,TRUE,https://images.unsplash.com/photo-1596462502278-27bfdc403348?q=80&w=800&auto=format&fit=crop,Corner,Parfum,Oriental,Aromatic,Medium,A masterfully crafted EDP fragrance by Corner. Perfect for Female seeking a Oriental scent with Medium longevity.
corner-breeze,Breeze,Corner,Parfum,TRUE,Title,Default Title,shopify,29,deny,manual,409,TRUE,TRUE,https://images.unsplash.com/photo-1596462502278-27bfdc403348?q=80&w=800&auto=format&fit=crop,Corner,Parfum,Aquatic,Aromatic,Medium,A masterfully crafted EDP fragrance by Corner. Perfect for Unisex seeking a Aquatic scent with Medium longevity.
corner-zephyr,Zephyr,Corner,Parfum,TRUE,Title,Default Title,shopify,30,deny,manual,410,TRUE,TRUE,https://images.unsplash.com/photo-1615529183492-c4e047ceb4d5?q=80&w=800&auto=format&fit=crop,Corner,Parfum,Aromatic,Aromatic,Medium,A masterfully crafted EDP fragrance by Corner. Perfect for Unisex seeking a Aromatic scent with Medium longevity.
corner-caramel,Caramel,Corner,Parfum,TRUE,Title,Default Title,shopify,31,deny,manual,411,TRUE,TRUE,https://images.unsplash.com/photo-1601244840899-72c676afba7b?q=80&w=800&auto=format&fit=crop,Corner,Parfum,Gourmand,Aromatic,Medium,A masterfully crafted EDP fragrance by Corner. Perfect for Unisex seeking a Gourmand scent with Medium longevity.
corner-marina,Marina,Corner,Parfum,TRUE,Title,Default Title,shopify,32,deny,manual,412,TRUE,TRUE,https://images.unsplash.com/photo-1599305090598-fe179d501227?q=80&w=800&auto=format&fit=crop,Corner,Parfum,Aquatic,Aromatic,Medium,A masterfully crafted EDP fragrance by Corner. Perfect for Unisex seeking a Aquatic scent with Medium longevity.
corner-oud,Oud,Corner,Parfum,TRUE,Title,Default Title,shopify,33,deny,manual,413,TRUE,TRUE,https://images.unsplash.com/photo-1615529183492-c4e047ceb4d5?q=80&w=800&auto=format&fit=crop,Corner,Parfum,Woody,Aromatic,Strong,A masterfully crafted EDP fragrance by Corner. Perfect for Unisex seeking a Woody scent with Strong longevity.
corner-elegante,Elegante,Corner,Parfum,TRUE,Title,Default Title,shopify,34,deny,manual,414,TRUE,TRUE,https://images.unsplash.com/photo-1592914610354-fd354d45fe82?q=80&w=800&auto=format&fit=crop,Corner,Parfum,Oriental,Aromatic,Medium,A masterfully crafted EDP fragrance by Corner. Perfect for Female seeking a Oriental scent with Medium longevity.
corner-voilette,Voilette,Corner,Parfum,TRUE,Title,Default Title,shopify,35,deny,manual,415,TRUE,TRUE,https://images.unsplash.com/photo-1592914610354-fd354d45fe82?q=80&w=800&auto=format&fit=crop,Corner,Parfum,Powdery,Aromatic,Medium,A masterfully crafted EDP fragrance by Corner. Perfect for Female seeking a Powdery scent with Medium longevity.
corner-zeste,Zeste,Corner,Parfum,TRUE,Title,Default Title,shopify,36,deny,manual,416,TRUE,TRUE,https://images.unsplash.com/photo-1616949755610-8c9bbc08f138?q=80&w=800&auto=format&fit=crop,Corner,Parfum,Fresh,Aromatic,Medium,A masterfully crafted EDP fragrance by Corner. Perfect for Unisex seeking a Fresh scent with Medium longevity.
corner-zingy,Zingy,Corner,Parfum,TRUE,Title,Default Title,shopify,37,deny,manual,417,TRUE,TRUE,https://images.unsplash.com/photo-1601244840899-72c676afba7b?q=80&w=800&auto=format&fit=crop,Corner,Parfum,Citrus,Aromatic,Medium,A masterfully crafted EDP fragrance by Corner. Perfect for Unisex seeking a Citrus scent with Medium longevity.
afnan-dive,Dive,Afnan,Parfum,TRUE,Title,Default Title,shopify,38,deny,manual,418,TRUE,TRUE,https://images.unsplash.com/photo-1582211594533-268f4f1edcb9?q=80&w=800&auto=format&fit=crop,Afnan,Parfum,Scent,Aromatic,Medium,A masterfully crafted EDP fragrance by Afnan. Perfect for Unisex seeking a Scent scent with Medium longevity.
afnan-femme,Femme,Afnan,Parfum,TRUE,Title,Default Title,shopify,39,deny,manual,419,TRUE,TRUE,https://images.unsplash.com/photo-1598516086708-41c305c08d17?q=80&w=800&auto=format&fit=crop,Afnan,Parfum,Scent,Aromatic,Medium,A masterfully crafted EDP fragrance by Afnan. Perfect for Female seeking a Scent scent with Medium longevity.
afnan-homme,Homme,Afnan,Parfum,TRUE,Title,Default Title,shopify,40,deny,manual,420,TRUE,TRUE,https://images.unsplash.com/photo-1608528577891-eb055944f2e7?q=80&w=800&auto=format&fit=crop,Afnan,Parfum,Scent,Aromatic,Medium,A masterfully crafted EDP fragrance by Afnan. Perfect for Male seeking a Scent scent with Medium longevity.
afnan-pm,PM,Afnan,Parfum,TRUE,Title,Default Title,shopify,41,deny,manual,421,TRUE,TRUE,https://images.unsplash.com/photo-1563170351-be82bc88ea6f?q=80&w=800&auto=format&fit=crop,Afnan,Parfum,Pleaser,Aromatic,Medium,A masterfully crafted EDP fragrance by Afnan. Perfect for Unisex seeking a Pleaser scent with Medium longevity.
afnan-rebel,Rebel,Afnan,Parfum,TRUE,Title,Default Title,shopify,42,deny,manual,422,TRUE,TRUE,https://images.unsplash.com/photo-1592914610354-fd354d45fe82?q=80&w=800&auto=format&fit=crop,Afnan,Parfum,Fruity,Aromatic,Strong,A masterfully crafted EDP fragrance by Afnan. Perfect for Male seeking a Fruity scent with Strong longevity.
afnan-bouquet,Bouquet,Afnan,Parfum,TRUE,Title,Default Title,shopify,43,deny,manual,423,TRUE,TRUE,https://images.unsplash.com/photo-1608528577891-eb055944f2e7?q=80&w=800&auto=format&fit=crop,Afnan,Parfum,Gourmand,Aromatic,Medium,A masterfully crafted EDP fragrance by Afnan. Perfect for Female seeking a Gourmand scent with Medium longevity.
afnan-portrait,Portrait,Afnan,Parfum,TRUE,Title,Default Title,shopify,44,deny,manual,424,TRUE,TRUE,https://images.unsplash.com/photo-1594913785124-71239c4f5260?q=80&w=800&auto=format&fit=crop,Afnan,Parfum,Fougere,Aromatic,Strong,A masterfully crafted EDP fragrance by Afnan. Perfect for Unisex seeking a Fougere scent with Strong longevity.
afnan-pink,Pink,Afnan,Extract,TRUE,Title,Default Title,shopify,45,deny,manual,425,TRUE,TRUE,https://images.unsplash.com/photo-1603569283847-aa295f0d016a?q=80&w=800&auto=format&fit=crop,Afnan,Extract,Fruity,Aromatic,Medium,A masterfully crafted PARFUM fragrance by Afnan. Perfect for Female seeking a Fruity scent with Medium longevity.
afnan-love,Love,Afnan,Parfum,TRUE,Title,Default Title,shopify,46,deny,manual,426,TRUE,TRUE,https://images.unsplash.com/photo-1588405748880-12d1d2a59f75?q=80&w=800&auto=format&fit=crop,Afnan,Parfum,Gourmand,Aromatic,Medium,A masterfully crafted EDP fragrance by Afnan. Perfect for Female seeking a Gourmand scent with Medium longevity.
afnan-olmeda,Olmeda,Afnan,Parfum,TRUE,Title,Default Title,shopify,47,deny,manual,427,TRUE,TRUE,https://images.unsplash.com/photo-1608528577891-eb055944f2e7?q=80&w=800&auto=format&fit=crop,Afnan,Parfum,Spicy,Aromatic,Medium,A masterfully crafted EDP fragrance by Afnan. Perfect for Unisex seeking a Spicy scent with Medium longevity.
afnan-sahara,Sahara,Afnan,Parfum,TRUE,Title,Default Title,shopify,48,deny,manual,428,TRUE,TRUE,https://images.unsplash.com/photo-1615529182904-14819c35db37?q=80&w=800&auto=format&fit=crop,Afnan,Parfum,Vanilla,Aromatic,Strong,A masterfully crafted EDP fragrance by Afnan. Perfect for Unisex seeking a Vanilla scent with Strong longevity.
afnan-deux,Deux,Afnan,Parfum,TRUE,Title,Default Title,shopify,49,deny,manual,429,TRUE,TRUE,https://images.unsplash.com/photo-1592945403244-b3fbafd7f539?q=80&w=800&auto=format&fit=crop,Afnan,Parfum,Scent,Aromatic,Medium,A masterfully crafted EDP fragrance by Afnan. Perfect for Female seeking a Scent scent with Medium longevity.
afnan-une,Une,Afnan,Parfum,TRUE,Title,Default Title,shopify,50,deny,manual,430,TRUE,TRUE,https://images.unsplash.com/photo-1599305090598-fe179d501227?q=80&w=800&auto=format&fit=crop,Afnan,Parfum,Scent,Aromatic,Medium,A masterfully crafted EDP fragrance by Afnan. Perfect for Female seeking a Scent scent with Medium longevity.
afnan-bouquet,Bouquet,Afnan,Parfum,TRUE,Title,Default Title,shopify,51,deny,manual,431,TRUE,TRUE,https://images.unsplash.com/photo-1601007746401-44755f190e29?q=80&w=800&auto=format&fit=crop,Afnan,Parfum,Floral,Aromatic,Medium,A masterfully crafted EDP fragrance by Afnan. Perfect for Female seeking a Floral scent with Medium longevity.
afnan-ginza,Ginza,Afnan,Parfum,TRUE,Title,Default Title,shopify,52,deny,manual,432,TRUE,TRUE,https://images.unsplash.com/photo-1563170351-be82bc88ea6f?q=80&w=800&auto=format&fit=crop,Afnan,Parfum,Spicy,Aromatic,Medium,A masterfully crafted EDP fragrance by Afnan. Perfect for Male seeking a Spicy scent with Medium longevity.
afnan-intense,Intense,Afnan,Parfum,TRUE,Title,Default Title,shopify,53,deny,manual,433,TRUE,TRUE,https://images.unsplash.com/photo-1595535373192-fc8938b27529?q=80&w=800&auto=format&fit=crop,Afnan,Parfum,Spicy,Aromatic,Medium,A masterfully crafted EDP fragrance by Afnan. Perfect for Male seeking a Spicy scent with Medium longevity.
afnan-carbon,Carbon,Afnan,Parfum,TRUE,Title,Default Title,shopify,54,deny,manual,434,TRUE,TRUE,https://images.unsplash.com/photo-1592494911762-d2f1f5f3e911?q=80&w=800&auto=format&fit=crop,Afnan,Parfum,Spicy,Aromatic,Medium,A masterfully crafted EDP fragrance by Afnan. Perfect for Male seeking a Spicy scent with Medium longevity.
afnan-reef,Reef,Afnan,Parfum,TRUE,Title,Default Title,shopify,55,deny,manual,435,TRUE,TRUE,https://images.unsplash.com/photo-1518331566-07612711ff60?q=80&w=800&auto=format&fit=crop,Afnan,Parfum,Spicy,Aromatic,Medium,A masterfully crafted EDP fragrance by Afnan. Perfect for Male seeking a Spicy scent with Medium longevity.
afnan-tiffany,Tiffany,Afnan,Parfum,TRUE,Title,Default Title,shopify,56,deny,manual,436,TRUE,TRUE,https://images.unsplash.com/photo-1601007746401-44755f190e29?q=80&w=800&auto=format&fit=crop,Afnan,Parfum,Spicy,Aromatic,Medium,A masterfully crafted EDP fragrance by Afnan. Perfect for Male seeking a Spicy scent with Medium longevity.
afnan-edition,Edition,Afnan,Parfum,TRUE,Title,Default Title,shopify,57,deny,manual,437,TRUE,TRUE,https://images.unsplash.com/photo-1594035910387-fea47794261f?q=80&w=800&auto=format&fit=crop,Afnan,Parfum,Spicy,Aromatic,Strong,A masterfully crafted EDP fragrance by Afnan. Perfect for Male seeking a Spicy scent with Strong longevity.
afnan-silver,Silver,Afnan,Parfum,TRUE,Title,Default Title,shopify,58,deny,manual,438,TRUE,TRUE,https://images.unsplash.com/photo-1563170351-be82bc88ea6f?q=80&w=800&auto=format&fit=crop,Afnan,Parfum,Spicy,Aromatic,Medium,A masterfully crafted EDP fragrance by Afnan. Perfect for Male seeking a Spicy scent with Medium longevity.
afnan-heaven,Heaven,Afnan,Parfum,TRUE,Title,Default Title,shopify,59,deny,manual,439,TRUE,TRUE,https://images.unsplash.com/photo-1616949755610-8c9bbc08f138?q=80&w=800&auto=format&fit=crop,Afnan,Parfum,Spicy,Aromatic,Medium,A masterfully crafted EDP fragrance by Afnan. Perfect for Male seeking a Spicy scent with Medium longevity.
afnan-oud,Oud,Afnan,Parfum,TRUE,Title,Default Title,shopify,60,deny,manual,440,TRUE,TRUE,https://images.unsplash.com/photo-1601007746401-44755f190e29?q=80&w=800&auto=format&fit=crop,Afnan,Parfum,Spicy,Aromatic,Strong,A masterfully crafted EDP fragrance by Afnan. Perfect for Male seeking a Spicy scent with Strong longevity.
afnan-intense,Intense,Afnan,Parfum,TRUE,Title,Default Title,shopify,61,deny,manual,441,TRUE,TRUE,https://images.unsplash.com/photo-1563170351-be82bc88ea6f?q=80&w=800&auto=format&fit=crop,Afnan,Parfum,Spicy,Aromatic,Strong,A masterfully crafted EDP fragrance by Afnan. Perfect for Male seeking a Spicy scent with Strong longevity.
afnan-theoreme,Theoreme,Afnan,Parfum,TRUE,Title,Default Title,shopify,62,deny,manual,442,TRUE,TRUE,https://images.unsplash.com/photo-1590156546946-ce55a12a6a5d?q=80&w=800&auto=format&fit=crop,Afnan,Parfum,Spicy,Aromatic,Medium,A masterfully crafted EDP fragrance by Afnan. Perfect for Unisex seeking a Spicy scent with Medium longevity.
afnan-matrix,Matrix,Afnan,Parfum,TRUE,Title,Default Title,shopify,63,deny,manual,443,TRUE,TRUE,https://images.unsplash.com/photo-1594913785124-71239c4f5260?q=80&w=800&auto=format&fit=crop,Afnan,Parfum,Spicy,Aromatic,Medium,A masterfully crafted EDP fragrance by Afnan. Perfect for Unisex seeking a Spicy scent with Medium longevity.
afnan-femme,Femme,Afnan,Parfum,TRUE,Title,Default Title,shopify,64,deny,manual,444,TRUE,TRUE,https://images.unsplash.com/photo-1603569283847-aa295f0d016a?q=80&w=800&auto=format&fit=crop,Afnan,Parfum,Spicy,Aromatic,Medium,A masterfully crafted EDP fragrance by Afnan. Perfect for Female seeking a Spicy scent with Medium longevity.
afnan-blue,Blue,Afnan,Parfum,TRUE,Title,Default Title,shopify,65,deny,manual,445,TRUE,TRUE,https://images.unsplash.com/photo-1595535373192-fc8938b27529?q=80&w=800&auto=format&fit=crop,Afnan,Parfum,Spicy,Aromatic,Medium,A masterfully crafted EDP fragrance by Afnan. Perfect for Male seeking a Spicy scent with Medium longevity.
afnan-brown,Brown,Afnan,Parfum,TRUE,Title,Default Title,shopify,66,deny,manual,446,TRUE,TRUE,https://images.unsplash.com/photo-1616949755610-8c9bbc08f138?q=80&w=800&auto=format&fit=crop,Afnan,Parfum,Spicy,Aromatic,Medium,A masterfully crafted EDP fragrance by Afnan. Perfect for Male seeking a Spicy scent with Medium longevity.
afnan-electric,Electric,Afnan,Parfum,TRUE,Title,Default Title,shopify,67,deny,manual,447,TRUE,TRUE,https://images.unsplash.com/photo-1592494911762-d2f1f5f3e911?q=80&w=800&auto=format&fit=crop,Afnan,Parfum,Spicy,Aromatic,Medium,A masterfully crafted EDP fragrance by Afnan. Perfect for Male seeking a Spicy scent with Medium longevity.
xerjoff-accento,Accento,Xerjoff,Parfum,TRUE,Title,Default Title,shopify,68,deny,manual,448,TRUE,TRUE,https://images.unsplash.com/photo-1563170351-be82bc88ea6f?q=80&w=800&auto=format&fit=crop,Xerjoff,Parfum,Fruity,Aromatic,Strong,A masterfully crafted EDP fragrance by Xerjoff. Perfect for Unisex seeking a Fruity scent with Strong longevity.
xerjoff-gentiluomo,Gentiluomo,Xerjoff,Parfum,TRUE,Title,Default Title,shopify,69,deny,manual,449,TRUE,TRUE,https://images.unsplash.com/photo-1592914610354-fd354d45fe82?q=80&w=800&auto=format&fit=crop,Xerjoff,Parfum,Aromatic,Aromatic,Medium,A masterfully crafted EDP fragrance by Xerjoff. Perfect for Unisex seeking a Aromatic scent with Medium longevity.
xerjoff-pura,Pura,Xerjoff,Parfum,TRUE,Title,Default Title,shopify,20,deny,manual,150,TRUE,TRUE,https://images.unsplash.com/photo-1601007746401-44755f190e29?q=80&w=800&auto=format&fit=crop,Xerjoff,Parfum,Musk,Aromatic,Strong,A masterfully crafted EDP fragrance by Xerjoff. Perfect for Unisex seeking a Musk scent with Strong longevity.
xerjoff-words,Words,Xerjoff,Parfum,TRUE,Title,Default Title,shopify,21,deny,manual,151,TRUE,TRUE,https://images.unsplash.com/photo-1622618991746-fe6004db3a47?q=80&w=800&auto=format&fit=crop,Xerjoff,Parfum,Oriental,Aromatic,Medium,A masterfully crafted EDP fragrance by Xerjoff. Perfect for Female seeking a Oriental scent with Medium longevity.
xerjoff-naxos,Naxos,Xerjoff,Parfum,TRUE,Title,Default Title,shopify,22,deny,manual,152,TRUE,TRUE,https://images.unsplash.com/photo-1616949755610-8c9bbc08f138?q=80&w=800&auto=format&fit=crop,Xerjoff,Parfum,Gourmand,Aromatic,Strong,A masterfully crafted EDP fragrance by Xerjoff. Perfect for Unisex seeking a Gourmand scent with Strong longevity.
xerjoff-starlight,Starlight,Xerjoff,Parfum,TRUE,Title,Default Title,shopify,23,deny,manual,153,TRUE,TRUE,https://images.unsplash.com/photo-1622618991746-fe6004db3a47?q=80&w=800&auto=format&fit=crop,Xerjoff,Parfum,Spicy,Aromatic,Medium,A masterfully crafted EDP fragrance by Xerjoff. Perfect for Unisex seeking a Spicy scent with Medium longevity.
xerjoff-wardasina,Wardasina,Xerjoff,Parfum,TRUE,Title,Default Title,shopify,24,deny,manual,154,TRUE,TRUE,https://images.unsplash.com/photo-1601244840899-72c676afba7b?q=80&w=800&auto=format&fit=crop,Xerjoff,Parfum,Floral,Aromatic,Medium,A masterfully crafted EDP fragrance by Xerjoff. Perfect for Unisex seeking a Floral scent with Medium longevity.
xerjoff-zaffiro,Zaffiro,Xerjoff,Parfum,TRUE,Title,Default Title,shopify,25,deny,manual,155,TRUE,TRUE,https://images.unsplash.com/photo-1592914610354-fd354d45fe82?q=80&w=800&auto=format&fit=crop,Xerjoff,Parfum,Floral,Aromatic,Medium,A masterfully crafted EDP fragrance by Xerjoff. Perfect for Unisex seeking a Floral scent with Medium longevity.
xerjoff-uden,Uden,Xerjoff,Parfum,TRUE,Title,Default Title,shopify,26,deny,manual,156,TRUE,TRUE,https://images.unsplash.com/photo-1608528577891-eb055944f2e7?q=80&w=800&auto=format&fit=crop,Xerjoff,Parfum,Oriental,Aromatic,Strong,A masterfully crafted EDP fragrance by Xerjoff. Perfect for Unisex seeking a Oriental scent with Strong longevity.
xerjoff-richwood,Richwood,Xerjoff,Parfum,TRUE,Title,Default Title,shopify,27,deny,manual,157,TRUE,TRUE,https://images.unsplash.com/photo-1563170351-be82bc88ea6f?q=80&w=800&auto=format&fit=crop,Xerjoff,Parfum,Spicy,Aromatic,Strong,A masterfully crafted EDP fragrance by Xerjoff. Perfect for Unisex seeking a Spicy scent with Strong longevity.
xerjoff-naxos,Naxos,Xerjoff,Parfum,TRUE,Title,Default Title,shopify,28,deny,manual,158,TRUE,TRUE,https://images.unsplash.com/photo-1616949755610-8c9bbc08f138?q=80&w=800&auto=format&fit=crop,Xerjoff,Parfum,Spicy,Aromatic,Strong,A masterfully crafted EDP fragrance by Xerjoff. Perfect for Unisex seeking a Spicy scent with Strong longevity.
xerjoff-ii,II,Xerjoff,Parfum,TRUE,Title,Default Title,shopify,29,deny,manual,159,TRUE,TRUE,https://images.unsplash.com/photo-1594913785124-71239c4f5260?q=80&w=800&auto=format&fit=crop,Xerjoff,Parfum,Oriental,Aromatic,Strong,A masterfully crafted EDP fragrance by Xerjoff. Perfect for Unisex seeking a Oriental scent with Strong longevity.
xerjoff-lira,Lira,Xerjoff,Parfum,TRUE,Title,Default Title,shopify,30,deny,manual,160,TRUE,TRUE,https://images.unsplash.com/photo-1518331566-07612711ff60?q=80&w=800&auto=format&fit=crop,Xerjoff,Parfum,Fruity,Aromatic,Medium,A masterfully crafted EDP fragrance by Xerjoff. Perfect for Female seeking a Fruity scent with Medium longevity.
xerjoff-club,Club,Xerjoff,Parfum,TRUE,Title,Default Title,shopify,31,deny,manual,161,TRUE,TRUE,https://images.unsplash.com/photo-1596462502278-27bfdc403348?q=80&w=800&auto=format&fit=crop,Xerjoff,Parfum,Woody,Aromatic,Medium,A masterfully crafted EDP fragrance by Xerjoff. Perfect for Unisex seeking a Woody scent with Medium longevity.
xerjoff-gloria,Gloria,Xerjoff,Parfum,TRUE,Title,Default Title,shopify,32,deny,manual,162,TRUE,TRUE,https://images.unsplash.com/photo-1596462502278-27bfdc403348?q=80&w=800&auto=format&fit=crop,Xerjoff,Parfum,Fruity,Aromatic,Medium,A masterfully crafted EDP fragrance by Xerjoff. Perfect for Female seeking a Fruity scent with Medium longevity.
xerjoff-nuit,Nuit,Xerjoff,Parfum,TRUE,Title,Default Title,shopify,33,deny,manual,163,TRUE,TRUE,https://images.unsplash.com/photo-1592914610354-fd354d45fe82?q=80&w=800&auto=format&fit=crop,Xerjoff,Parfum,Spicy,Aromatic,Strong,A masterfully crafted EDP fragrance by Xerjoff. Perfect for Unisex seeking a Spicy scent with Strong longevity.
